projectID,projectAcronym,organisationID,vatNumber,name,shortName,SME,activityType,street,postCode,city,country,nutsCode,geolocation,organizationURL,contactForm,contentUpdateDate,rcn,order,role,ecContribution,netEcContribution,totalCost,endOfParticipation
101072693,UAinEuratom21,969818320,UA143122220319,NATIONAL SCIENCE CENTER KHARKOV INSTITUTE OF PHYSICS AND TECHNOLOGY,NSC KIPT,False,REC,ACADEMICHNA STREET 1,61108,Kharkiv,UA,UA,"49.9902794,36.2303893",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/969818320/101072693,2022-10-28 09:34:22,2548920,1,coordinator,100000.0,100000.0,100000,False
101172406,FisEurad25,999506722,PL5320100125,NARODOWE CENTRUM BADAN JADROWYCH,NCBJ,False,REC,ULICA ANDRZEJA SOLTANA 7,05 400,Otwock,PL,PL912,"52.1258002,21.3388563",http://www.ncbj.gov.pl,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999506722/101172406,2024-07-04 16:19:47,1912951,1,coordinator,300000.0,300000.0,608440,False
101114128,Adsorbi,884902192,SE559363176401,ADSORBI AB,,True,PRC,STENA CENTER,412 92,Goteborg,SE,SE232,"57.7022449,11.896204686570243",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/884902192/101114128,2023-06-28 17:05:44,1981641,1,coordinator,75000.0,75000.0,0,False
101114412,WTEU-M,905109620,,MEDSENSIO AS,,True,PRC,SYKEHUSVEGEN 21,9019,Troms,NO,NO,"69.6807613,18.986982",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/905109620/101114412,2023-06-28 17:11:31,1966995,1,coordinator,75000.0,75000.0,0,False
101114020,Seedchrony,888744265,ESB06794424,MANINA MEDTECH SL,MANINA MEDTECH,True,PRC,BRUC 35 4 2A,08010,Barcelona,ES,ES511,"41.75786995,2.031182036159852",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/888744265/101114020,2023-06-28 17:03:12,1981623,1,coordinator,75000.0,75000.0,0,False
101114248,ELIA,885089790,SK2121186540,INSTITUTE OF LANGUAGE TECHNOLOGY EDUCATION,,True,PRC,BERNOLAKOVA 783/51,02901,Namestovo,SK,SK031,"49.409971,19.481991249999997",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/885089790/101114248,2023-08-29 01:53:34,1982165,1,coordinator,75000.0,75000.0,0,False
101052410,EUCYS2022,891247544,NL861144107B01,STICHTING LEIDEN EUROPEAN CITY OF SCIENCE 2022,,False,OTH,ZIJLDIJK 8,2362 AE,Warmond,NL,NL,"52.1915799,4.5348433",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/891247544/101052410,2023-03-10 20:23:58,1977246,1,coordinator,2000000.0,2000000.0,2000000,False
101172981,EUCYS2024,999917614,PL6340197134,UNIWERSYTET SLASKI W KATOWICACH,UNIWERSYTET SLASKI W KATOWICACH,False,HES,UL. BANKOWA 12,40-007,KATOWICE,PL,PL22A,"50.341363650000005,19.284806373671188",http://www.us.edu.pl,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999917614/101172981,2024-04-22 17:56:03,1906340,1,coordinator,999500.0,999500.0,999500,False
101157697,OA-Advance,999987939,,FONDATION EUROPEENNE DE LA SCIENCE,,False,OTH,QUAI LEZAY MARNESIA 1,67080,Strasbourg Cedex,FR,FR,"48.5849051,7.7546812",http://www.esf.org,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999987939/101157697,2024-01-18 15:25:02,1908434,1,coordinator,132000.0,132000.0,132000,False
101146726,KTW.Science,999917614,PL6340197134,UNIWERSYTET SLASKI W KATOWICACH,UNIWERSYTET SLASKI W KATOWICACH,False,HES,UL. BANKOWA 12,40-007,KATOWICE,PL,PL22A,"50.341363650000005,19.284806373671188",http://www.us.edu.pl,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999917614/101146726,2024-01-09 14:50:36,1906340,2,participant,734652.25,734652.25,"734652,25",False
101146726,KTW.Science,951604436,PL6340010147,KATOWICE - MIASTO NA PRAWACH POWIATU,,False,PUB,UL. MLYNSKA 4,40-098,KATOWICE,PL,PL22A,"50.25856295,19.0201705993139",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/951604436/101146726,2024-01-09 14:50:36,2573817,1,coordinator,1265347.75,1265347.75,"1265347,75",False
101124648,RESAVER_2023,917704488,,RETIREMENT SAVINGS VEHICLE FOR EUROPEAN RESEARCH INSTITUTIONS,,False,OTH,RUE DE PASCALE 22,1040,Bruxelles / Brussel,BE,BE100,"50.8417625,4.3774036",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/917704488/101124648,2023-10-13 14:43:57,1977248,1,coordinator,2499638.25,2499638.25,"2499638,25",False
101146604,EU TalentON,999917614,PL6340197134,UNIWERSYTET SLASKI W KATOWICACH,UNIWERSYTET SLASKI W KATOWICACH,False,HES,UL. BANKOWA 12,40-007,KATOWICE,PL,PL22A,"50.341363650000005,19.284806373671188",http://www.us.edu.pl,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999917614/101146604,2024-01-09 14:50:36,1906340,1,coordinator,499691.5,499691.5,"499691,5",False
101054755,ERA Conference,953355965,SI14246821,"Ministrstvo za izobrazevanje, znanost in sport",MIZS,False,PUB,Masarykova  16,1000,Ljubljana,SI,SI041,"46.05749945,14.5156513028735",http://www.mizs.gov.si/,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/953355965/101054755,2023-03-10 20:12:48,1906770,1,coordinator,100000.0,100000.0,100000,False
101131799,CO-VALUE,899261102,IT03786281208,ART-ER-SOCIETA CONSORTILE PER AZIONI,ART-ER,False,OTH,VIA PIERO GOBETTI 101,40129,Bologna Bo,IT,ITH55,"45.020781,7.8338801",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/899261102/101131799,2023-11-08 18:09:10,1958836,4,participant,196250.0,196250.0,196250,False
101131799,CO-VALUE,896926700,BE0745750648,STICKYDOT SRL,STICKYDOT SRL,True,PRC,RUE DU MONASTERE 10,1000,BRUXELLES,BE,BE100,"50.829915150000005,4.350155933524583",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/896926700/101131799,2023-11-08 18:09:10,1967836,1,coordinator,355750.0,355750.0,355750,False
101131799,CO-VALUE,940963536,IT12520270153,FONDAZIONE GIANNINO BASSETTI ETS,FGB,False,REC,VIA MICHELE BAROZZI 4,20122,Milano,IT,ITC4C,"45.4698524,9.2027289",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/940963536/101131799,2023-11-08 18:09:10,2517504,2,participant,259000.0,259000.0,259000,False
101131799,CO-VALUE,893802233,ESG54519301,FUNDACION PARQUE CIENTIFICO DE ALICANTE DE LA COMUNITAT VALENCIANA,,False,OTH,CTRA SAN VICENTE,03690,SAN VICENTE DEL RASPEIG,ES,ES,"38.3964248,-0.5250339",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/893802233/101131799,2023-11-08 18:09:10,1984949,3,participant,235625.0,235625.0,235625,False
101052247,Leiden2022-ECS-ESOF,891247544,NL861144107B01,STICHTING LEIDEN EUROPEAN CITY OF SCIENCE 2022,,False,OTH,ZIJLDIJK 8,2362 AE,Warmond,NL,NL,"52.1915799,4.5348433",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/891247544/101052247,2022-09-14 19:17:24,1977246,1,coordinator,2000000.0,2000000.0,"3709149,25",False
101056649,RESAVER Pension Fund,917704488,,RETIREMENT SAVINGS VEHICLE FOR EUROPEAN RESEARCH INSTITUTIONS,,False,OTH,RUE DE PASCALE 22,1040,Bruxelles / Brussel,BE,BE100,"50.8417625,4.3774036",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/917704488/101056649,2023-03-10 20:32:45,1977248,1,coordinator,850000.0,850000.0,1161350,False
101123904,EUCYS2023,924629221,,JEUNESSES SCIENTIFIQUES DE BELGIQUE,JSB,False,OTH,AVENUE LATERALE 17,1180,Bruxelles / Brussel,BE,BE100,"50.7964425,4.3732189",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/924629221/101123904,2023-12-06 16:16:47,2471370,1,coordinator,1000000.0,1000000.0,1043750,False
101113277,EIT-CKIC BP2023-2024,878875582,,STICHTING CLIMATE-KIC INTERNATIONAL FOUNDATION,,False,OTH,PLANTAGE MIDDENLAAN 45,1018 DC,Amsterdam,NL,NL32B,,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/878875582/101113277,2024-09-06 18:26:05,1991450,1,coordinator,22712147.0,22712147.0,22712147,False
101113201,XKIC SO,895840203,SE559230836401,EIT Manufacturing North AB,EIT MANUFACTORING NORTH AB,False,PRC,FORSKNINGSGANGEN 6,417 56,Goteborg,SE,SE232,"57.7066445,11.9370386",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/895840203/101113201,2023-07-07 17:06:31,1983330,2,thirdParty,0.0,300000.0,0,False
101113201,XKIC SO,890162114,IL516069168,EIT KIC ISRAEL LTD,EIT KIC ISRAEL LTD,False,PRC,121 MENACHEM BEGIN ROAD,6701203,TEL AVIV,IL,IL,"32.0523573,34.7626219",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/890162114/101113201,2023-07-07 17:06:31,1982006,4,participant,2672900.0,2672900.0,2672900,False
101113201,XKIC SO,896554802,ESB75233270,EIT MANUFACTURING WEST SL,EIT MANUFACTURING WEST,False,OTH,PALACIO MIRAMAR PASEO MIRACONCHA 48,20007,DONOSTIA SAN SEBASTIAN,ES,ES212,"43.2874179,-1.9862174",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/896554802/101113201,2023-07-07 17:06:31,1976847,2,thirdParty,0.0,30000.0,0,False
101113201,XKIC SO,898679684,,EIT MANUFACTURING ASBL,EIT MANUFACTURING ASBL,False,OTH,"NANO-INNOV, AVENUE DE LA VAUVE 8",91120,Palaiseau,FR,FR104,"48.7124209,2.193836514835258",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/898679684/101113201,2023-07-07 17:06:31,1981605,2,participant,330000.0,0.0,330000,False
101113201,XKIC SO,889782650,BE0679531322,EIT FOOD CLC WEST,,True,OTH,"PHILIPSSITE 5, AA TOREN",3001,Leuven,BE,BE242,"50.879202,4.7011675",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/889782650/101113201,2023-07-07 17:06:31,1981717,7,participant,20000.0,20000.0,20000,False
101113201,XKIC SO,888152662,,EIT DIGITAL SILICON VALLEY FOUNDATION,,True,OTH,845 MARKET STREET,94103,San Francisco,US,US,"37.78411475,-122.40637791271061",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/888152662/101113201,2023-07-07 17:06:31,1982007,5,thirdParty,0.0,753750.0,0,False
101113201,XKIC SO,890606180,DE308993820,EIT HEALTH EV,,False,OTH,MIES-VAN-DER-ROHE-STRASSE 1 C,80807,Munchen,DE,DE212,"48.17716115,11.590836696981079",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/890606180/101113201,2023-07-07 17:06:31,1971020,1,coordinator,136250.0,136250.0,136250,False
101113201,XKIC SO,917561607,NL855175588B01,CLIMATE-KIC HOLDING BV,,False,PRC,PLANTAGE MIDDENLAAN 45,1018 DC,Amsterdam,NL,NL,"52.0949753,5.109708",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/917561607/101113201,2023-07-07 17:06:31,1953833,3,participant,20000.0,20000.0,20000,False
101113201,XKIC SO,912334762,DE308252541,EIT HEALTH INNOSTARS EV,,False,OTH,MIES VAN DER ROHE STRASSE 1/C,80807,Munchen,DE,DE212,"48.2518439,11.6335051",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/912334762/101113201,2023-07-07 17:06:31,1954239,6,participant,1899600.0,1899600.0,1899600,False
101113201,XKIC SO,954616286,BE0831431639,EIT DIGITAL,,True,OTH,GUIMARDSTRAAT 7,1040,Bruxelles / Brussel,BE,BE100,"50.8390384,4.37168431305417",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/954616286/101113201,2023-07-07 17:06:31,2372599,5,participant,816250.0,62500.0,816250,False
101113245,EIT Digital BP,897714437,GB267089763,EIT DIGITAL UK,EIT DIGITAL UK LTD,False,OTH,46 WICKLOW STREET,WC1X 9JH,London,UK,UKI31,"51.5294837,-0.1177857",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/897714437/101113245,2023-06-28 16:59:04,1981607,1,thirdParty,0.0,1375000.0,0,False
101113245,EIT Digital BP,888552011,BE0700827077,EIT DIGITAL ACCELERATOR,,False,OTH,RUE GUIMARD 7,1040,Bruxelles / Brussel,BE,BE100,"50.8437305,4.3691963",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/888552011/101113245,2023-06-28 16:59:04,1973441,1,thirdParty,0.0,1125000.0,0,False
101113245,EIT Digital BP,887518282,SE802506144401,EIT DIGITAL SWEDEN,,False,OTH,TORSGATAN 11,111 23,Stockholm,SE,SE110,"59.3409008,18.0379812",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/887518282/101113245,2023-06-28 16:59:04,1981597,1,thirdParty,0.0,53000.0,0,False
101113245,EIT Digital BP,893135746,ESG87900874,EIT DIGITAL SPAIN,,False,OTH,EDIFICIO IMDEA SOFTWARE CAMPUS DE MONTEGANCEDO S/N,28223,POZUELO DE ALARCON,ES,ES300,"40.4346528,-3.814834",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/893135746/101113245,2023-06-28 16:59:04,1981603,1,thirdParty,0.0,2412500.0,0,False
101113245,EIT Digital BP,887937031,FI28441107,EIT DIGITAL FINLAND RY,,False,OTH,MAARINTIE 6,02150,Espoo,FI,FI1B1,"60.18734895,24.815590277118197",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/887937031/101113245,2023-06-28 16:59:04,1981600,1,thirdParty,0.0,1512500.0,0,False
101113245,EIT Digital BP,885012675,BE0649778254,EIT DIGITAL EDUCATION FOUNDATION,,False,OTH,RUE GUIMARD 7,1040,Bruxelles / Brussel,BE,BE100,"50.8437305,4.3691963",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/885012675/101113245,2023-06-28 16:59:04,1981595,1,thirdParty,0.0,1960000.0,0,False
101113245,EIT Digital BP,888415726,HU26161734,EIT DIGITAL HUNGARY NON PROFIT KFT,,False,OTH,BOGDANFY UTCA 10/A,1117,Budapest,HU,HU110,"47.47416305,19.05759147801224",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/888415726/101113245,2023-06-28 16:59:04,1981601,1,thirdParty,0.0,945000.0,0,False
101113245,EIT Digital BP,954616286,BE0831431639,EIT DIGITAL,,True,OTH,GUIMARDSTRAAT 7,1040,Bruxelles / Brussel,BE,BE100,"50.8390384,4.37168431305417",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/954616286/101113245,2023-06-28 16:59:04,2372599,1,coordinator,33696216.0,24313216.0,33696216,False
101071749,CanceRusolution,888729812,PT516289292,"SOMETHING IN HANDS - INVESTIGACAOCIENTIFICA, LDA",,True,PRC,"EDIFICIO TEC LABS, CAMPUS DA FCUL",1749-016,Lisboa,PT,PT,"38.7051749,-9.2306212",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/888729812/101071749,2022-08-10 17:33:01,1975338,1,coordinator,75000.0,75000.0,0,False
101071876,THRUST,904916008,LT100012301611,UAB AERODIAGNOSTIKA,THRUST,True,PRC,SKLANDYTUVU STR  1 - TRAKU R. SAV PALUKNIO SEN,11351,Vilnius,LT,LT011,"54.6871535344954,25.279598361123462",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/904916008/101071876,2022-08-10 17:33:04,1975337,1,coordinator,75000.0,75000.0,0,False
101113634,ChroWoDoc,888976774,DE343530941,CUREVISION GMBH,,True,PRC,AGNES-POCKELS-BOGEN 1,80992,Munchen,DE,DE212,"48.17391245,11.532224230456428",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/888976774/101113634,2023-07-11 15:46:59,1982181,1,coordinator,75000.0,75000.0,0,False
101177609,BECORI,999807713,,SERVICE PUBLIC FEDERAL DE PROGRAMMATION POLITIQUE SCIENTIFIQUE,PROGRAMMATORISCHE FEDERALE OVERHEIDSDIENST WETENSCHAPSBELEID,False,PUB,WTC IIIBoulevard Simon Bolivar 30,1000,Bruxelles / Brussel,BE,BE100,"50.83879505,4.375304132256188",http://www.belspo.be,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999807713/101177609,2024-05-10 15:05:02,1906834,1,coordinator,100000.0,100000.0,180250,False
101114214,MARIANAS,894819666,NL861071220B01,ALPHA BRAIN TECHNOLOGIES,ALPHA BRAIN,True,PRC,AVENUE CERAMIQUE 221,6221 KX,MAASTRICHT,NL,NL423,"50.8492658,5.7031945",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/894819666/101114214,2023-06-28 17:05:14,1980799,1,coordinator,75000.0,75000.0,0,False
101148217,EOSC Track,903914192,EL997032008,OPENAIRE AMKE,,False,OTH,6 ARTEMIDOS STR & EPIDAVROU,15125,Marousi,EL,EL301,"38.045574349999995,23.805270162605616",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/903914192/101148217,2024-01-18 14:47:18,1962030,1,coordinator,600000.0,600000.0,600000,False
101114169,DAICAR,884736710,DE351337494,RELIOS.VISION GMBH,,False,PRC,LENNESTRASSE 44,53113,BONN,DE,DEA22,"50.72807345,7.106609493046848",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/884736710/101114169,2023-06-28 17:05:11,1981633,1,coordinator,75000.0,75000.0,0,False
101071680,BioRevolution,902045390,SK2022617421,EKOLIVE SRO,EKOLIVE,True,PRC,AMERICKA TRIEDA 3,040 13,Kosice,SK,SK042,"48.752058,21.2708325",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/902045390/101071680,2023-04-05 12:31:30,1975341,1,coordinator,70000.0,70000.0,0,False
101100432,Ecosys4you,889421810,DE321457114,AWARE7 GMBH,,True,PRC,MUNSCHEIDSTR 14,45886,Gelsenkirchen,DE,DEA32,"51.49909385,7.107531714067031",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/889421810/101100432,2023-08-10 18:11:37,1983527,3,participant,195400.0,195400.0,0,False
101100432,Ecosys4you,946954644,SI58761535,DOBA FAKULTETA ZA UPORABNE POSLOVNEIN DRUZBENE STUDIJE MARIBOR,DOBA FAKULTETA,False,OTH,PRESERNOVA ULICA 1,2000,Maribor,SI,SI032,"46.5607164,15.6515603",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/946954644/101100432,2023-08-10 18:11:37,1983528,4,participant,191843.75,191843.75,0,False
101100432,Ecosys4you,990997106,DE811358679,"WESTFALISCHE HOCHSCHULE GELSENKIRCHEN, BOCHOLT, RECKLINGHAUSEN",WH Gelsenkirchen,False,HES,NEIDENBURGER STRASSE 43,45897,Gelsenkirchen,DE,DEA32,"51.5741487,7.02597404132636",http://www.w-hs.de,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/990997106/101100432,2023-08-10 18:11:37,1921492,1,coordinator,338915.0,338915.0,0,False
101100432,Ecosys4you,952522444,BG103792060,REGIONALNA AGENCIJA ZA PREDPRIEMACHESTVO I INOVACII-VARNA,REGIONAL AGENCY FOR ENTREPRENEURSHIP AND INNOVATIONS VARNA,False,REC,6 ASEN ZLATAROV ST OFFICE 3,9010,Varna,BG,BG331,"43.2069025,27.9150855",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/952522444/101100432,2023-08-10 18:11:37,1980699,2,participant,173500.0,173500.0,0,False
101096195,INFIMO,998243976,EE100901067,BALTIC INNOVATION AGENCY OU,BIA,True,PRC,LAI 30,51005,Tartu,EE,EE008,"58.3835993,26.7195368",https://www.bia.ee,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/998243976/101096195,2023-09-20 17:54:13,1939089,4,participant,120000.0,120000.0,0,False
101096195,INFIMO,907730560,PT513939199,MOBINOV - ASSOCIACAO DO CLUSTERAUTOMOVEL,,True,OTH,AVENIDA DOM AFONSO HENRIQUES  1825,4450-017,Matosinhos,PT,PT11A,"41.1724209,-8.6799149",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/907730560/101096195,2023-09-20 17:54:13,1984171,2,participant,125000.0,125000.0,0,False
